"","Temp","Temp.Var","Precip","Precip.Var"
"Abrotanella.inconspicua",37.7083333333333,4184.20833333333,1845.58333333333,10.125
"Acaena.antarctica",51.5294117647059,3449.88235294118,978.411764705882,33.1764705882353
"Acaena.diminuta",61.1491442542787,6212.54034229829,1105.38141809291,29.6528117359413
"Acaena.leptacantha",60.4615384615385,4243.92307692308,846.230769230769,65.3846153846154
"Acaena.macrocephala",72,4183.5,1134.83333333333,75.3333333333333
"Acaena.magellanica",45.515306122449,2451.73979591837,957.65306122449,20.9336734693878
"Acaena.pinnatifida",120.793522267206,3159.88663967611,703.793522267207,80.3279352226721
"Acaena.splendens",77.3888888888889,4266.77777777778,704.638888888889,63
"Achillea.atrata",29.9015544041451,6185.33678756477,1250.93264248705,28.0362694300518
"Achillea.millefolium",119.938034188034,5838.76068376068,816.047008547009,43.9700854700855
"Aciphylla.monroi",52.811320754717,3918.35849056604,2457.25943396226,14.3490566037736
"Aciphyllum.congestum",61.1491442542787,6212.54034229829,1105.38141809291,29.6528117359413
"Aconitum.delphinifolium",61.1491442542787,6212.54034229829,1105.38141809291,29.6528117359413
"Adesmia.echinus",39.2307692307692,3239.30769230769,171.615384615385,47.8461538461538
"Adesmia.lotoides",61.9545454545455,4098.5,325.954545454545,32.8181818181818
"Adesmia.parviflora",126.444444444444,2688,222.333333333333,80.3333333333333
"Adesmia.pumila",50.3333333333333,3845.55555555556,404.777777777778,20.6666666666667
"Adesmia.salicornioides",44.0909090909091,3632.54545454545,399.727272727273,20.9090909090909
"Adesmia.subterranea",57.6666666666667,3501.83333333333,316,65.1666666666667
"Agoseris.aurantiaca",22.9195402298851,6899.9816091954,934.052873563218,44.5701149425287
"Agoseris.glauca",29.9394673123487,8253.22518159806,579.63196125908,42.6949152542373
"Agoseris.villosa",29.9394673123487,8253.22518159806,579.63196125908,42.6949152542373
"Agropyron.scribneri",-4.48484848484848,7038.25757575758,749.992424242424,32.4848484848485
"Agropyron.spicatum",55.8990610328638,8164.92723004695,491.542253521127,42.5422535211268
"Agrostis.alpina",28.4124293785311,6063.81920903955,1262.96610169492,24.2090395480226
"Agrostis.borealis",-2.06854838709677,7262.74193548387,888.443548387097,27.8689516129032
"Agrostis.castellana",141.131147540984,5480.52459016393,717.439890710383,48.6584699453552
"Agrostis.foliata",59.5730337078652,420.022471910112,1366.52247191011,29.6685393258427
"Agrostis.muelleriana",50.1083333333333,4276.0875,1961.65416666667,19.075
"Agrostis.nevadensis",71.4214876033058,6598.33884297521,912.066115702479,39.4214876033058
"Agrostis.rupestris",25.6046511627907,5877.48255813954,1187.45348837209,27.2267441860465
"Agrostis.scabra",46.0725,7732.15,825.3725,50.3875
"Agrostis.serranoi",75.1,3881.45,1173,40.55
"Agrostis.truncatula",104.03606557377,5934.45573770492,748.901639344262,37.6295081967213
"Alchemilla.alpina",13.7846481876333,6291.04051172708,1223.79957356077,27.6055437100213
"Alchemilla.decumbens",35.8503937007874,6114.61417322835,1220.09448818898,26.9448818897638
"Alopecurus.textilis",43.1785714285714,7993.64285714286,542.142857142857,53.7857142857143
"Alyssum.nevadense",96,6452.15384615385,730.076923076923,41.2307692307692
"Anaphalis.contorta",98.4102564102564,5254.54871794872,1309.35384615385,86.2153846153846
"Anarthrophyllum.gayanum",81,4387,193,20
"Androsace.chamaejasme",-30.7965517241379,9564.94827586207,657.824137931034,46.5275862068966
"Androsace.sermentosa",57.9393939393939,6170.75757575758,960.636363636364,79.7575757575758
"Androsace.tapete",27.1063829787234,6815.31914893617,530.021276595745,101.553191489362
"Anemone.drummondii",10.8769633507853,7236.07329842932,1027.94240837696,58.7094240837696
"Anemone.multifida",10.2488479262673,8747.58064516129,674.251152073733,36.9746543778802
"Anemone.occidentalis",24.8038147138965,5980.53950953678,1444.48773841962,55.9618528610354
"Anemone.parviflora",-48.3695150115473,10916.1732101617,536.56351039261,46.6281755196305
"Anisotome.aromatica",64.0399159663866,4027.85084033613,2471.20798319328,14.0021008403361
"Anisotome.capillifolia",43.6666666666667,3857.66666666667,2268.38888888889,9.88888888888889
"Anisotome.flexuosa",55.0213675213675,4177.55341880342,2524.72222222222,12.4188034188034
