"","cushion","open","cushion+open"
"Abrotanella_inconspicua",0.00228013029315961,0,0.0011400651465798
"Abrotanella_sp",0.00358306188925081,0,0.00179153094462541
"Acaena_antarctica",0.0011400651465798,0.000325732899022801,0.000732899022801303
"Acaena_diminuta",0.000488599348534202,0.000325732899022801,0.000407166123778502
"Acaena_leptacantha",0.00276872964169381,0.00162866449511401,0.00219869706840391
"Acaena_macrocephala",0.0107491856677524,0,0.00537459283387622
"Acaena_magellanica",0.00244299674267101,0.00244299674267101,0.00244299674267101
"Acaena_pinnatifida",0.00960912052117264,0.00407166123778502,0.00684039087947883
"Acaena_sp",0.00504885993485342,0.00130293159609121,0.00317589576547231
"Acaena_sp1",0,0.000162866449511401,8.14332247557003e-05
"Acaena_splendens",0.00244299674267101,0.000325732899022801,0.00138436482084691
"Acantholimon_brachystachyum",0.00684039087947883,0.000977198697068404,0.00390879478827362
"Acantholimon_sp",0.000488599348534202,0.000488599348534202,0.000488599348534202
"Achillea_atrata",0.000162866449511401,0,8.14332247557003e-05
"Achillea_millefolium",0.0167752442996743,0.00358306188925081,0.0101791530944625
"Achillea_sp",0,0.000325732899022801,0.000162866449511401
"Achillea_sp1",0,0.000162866449511401,8.14332247557003e-05
"Aciphylla_monroi",0.00260586319218241,0.000162866449511401,0.00138436482084691
"Aciphylla_sp",0.00162866449511401,0,0.000814332247557003
"Aciphyllum_congestum",0.00195439739413681,0.000651465798045603,0.00130293159609121
"Aconitum_delphinifolium",0.00244299674267101,0.000814332247557003,0.00162866449511401
"Acronema_sp",0.00179153094462541,0,0.000895765472312704
"Adesmia_echinus",0.00309446254071661,0,0.00154723127035831
"Adesmia_lotoides",0.00211726384364821,0.000651465798045603,0.00138436482084691
"Adesmia_parviflora",0.000977198697068404,0,0.000488599348534202
"Adesmia_pumila",0.00195439739413681,0.000162866449511401,0.0010586319218241
"Adesmia_salicornioides",0,0.000162866449511401,8.14332247557003e-05
"Adesmia_sp",0.00260586319218241,0.00537459283387622,0.00399022801302932
"Adesmia_sp1",0.00309446254071661,0.00570032573289902,0.00439739413680782
"Adesmia_sp2",0.00211726384364821,0.00390879478827362,0.00301302931596091
"Adesmia_sp3",0.00130293159609121,0.00521172638436482,0.00325732899022801
"Adesmia_sp4",0.000488599348534202,0.00162866449511401,0.0010586319218241
"Adesmia_sp5",0.000162866449511401,0.000325732899022801,0.000244299674267101
"Adesmia_subterranea",0.0115635179153094,0,0.00578175895765472
"Agoseris_aurantiaca",0.00798045602605863,0.00130293159609121,0.00464169381107492
"Agoseris_glauca",0.00228013029315961,0.000814332247557003,0.00154723127035831
"Agoseris_villosa",0.000162866449511401,0,8.14332247557003e-05
"Agropyron_scribneri",0.00944625407166124,0.000488599348534202,0.00496742671009772
"Agropyron_spicatum",0.00407166123778502,0.000814332247557003,0.00244299674267101
"Agrostis_alpina",0.00667752442996743,0.00195439739413681,0.00431596091205212
"Agrostis_borealis",0.00439739413680782,0.00342019543973941,0.00390879478827362
"Agrostis_castellana",0.00504885993485342,0.00423452768729642,0.00464169381107492
"Agrostis_foliata",0,0.00602605863192182,0.00301302931596091
"Agrostis_muelleriana",0.00684039087947883,0.00374592833876221,0.00529315960912052
"Agrostis_nevadensis",0.0107491856677524,0.00667752442996743,0.00871335504885993
"Agrostis_rupestris",0.000162866449511401,0,8.14332247557003e-05
"Agrostis_scabra",0.00700325732899023,0.00228013029315961,0.00464169381107492
"Agrostis_serranoi",0.0011400651465798,0.000162866449511401,0.000651465798045603
"Agrostis_sp",0.00390879478827362,0.00130293159609121,0.00260586319218241
"Agrostis_sp1",0.000488599348534202,0.000162866449511401,0.000325732899022801
"Agrostis_sp2",0.000651465798045603,0.000651465798045603,0.000651465798045603
"Agrostis_sp3",0.00798045602605863,0.000325732899022801,0.00415309446254072
"Agrostis_sp4",0.00570032573289902,0.000325732899022801,0.00301302931596091
"Agrostis_sp5",0.0011400651465798,0.000814332247557003,0.000977198697068404
"Agrostis_truncatula",0.00749185667752443,0.00895765472312704,0.00822475570032573
"Ajuga_sp",0.000325732899022801,0,0.000162866449511401
"Alchemilla_alpina",0.000162866449511401,0.000162866449511401,0.000162866449511401
"Alchemilla_decumbens",0.000162866449511401,0,8.14332247557003e-05
"Alchemilla_sp",0.000977198697068404,0.000325732899022801,0.000651465798045603
"Alchemilla_sp1",0.000977198697068404,0,0.000488599348534202
"Allium_tuchalense",0.000977198697068404,0.000488599348534202,0.000732899022801303
"Alopecurus_textilis",0.000651465798045603,0.0011400651465798,0.000895765472312704
"Alyssum_nevadense",0,0.000651465798045603,0.000325732899022801
"Alyssum_sp",0.00521172638436482,0.00342019543973941,0.00431596091205212
"Anaphalis_contorta",0.0102605863192182,0.00700325732899023,0.00863192182410424
"Anarthrophyllum_gayanum",0,0.000488599348534202,0.000244299674267101
"Androsace_chamaejasme",0.0201954397394137,0.0153094462540717,0.0177524429967427
"Androsace_sermentosa",0.00814332247557003,0.00570032573289902,0.00692182410423453
"Androsace_sp1",0.00244299674267101,0.000814332247557003,0.00162866449511401
"Androsace_tapete",0.00293159609120521,0.00586319218241042,0.00439739413680782
"Anemone_drummondii",0.00456026058631922,0.000162866449511401,0.00236156351791531
"Anemone_multifida",0.0133550488599349,0,0.00667752442996743
"Anemone_occidentalis",0.00407166123778502,0.00260586319218241,0.00333876221498371
"Anemone_parviflora",0.000325732899022801,0.000162866449511401,0.000244299674267101
"Anemone_sp",0.00635179153094463,0.00260586319218241,0.00447882736156352
"Anisotome_aromatica",0.00358306188925081,0.000488599348534202,0.00203583061889251
"Anisotome_capillifolia",0.000162866449511401,0.000162866449511401,0.000162866449511401
"Anisotome_flexuosa",0,0.000651465798045603,0.000325732899022801
"Anisotome_haastii",0.00179153094462541,0,0.000895765472312704
"Anisotome_imbricata",0.00667752442996743,0.00309446254071661,0.00488599348534202
"Antennaria_alpina",0.0131921824104235,0.00928338762214984,0.0112377850162866
"Antennaria_carpatica",0.000325732899022801,0,0.000162866449511401
"Antennaria_dimorpha",0.000162866449511401,0,8.14332247557003e-05
"Antennaria_lanata",0.0171009771986971,0.00586319218241042,0.0114820846905537
"Antennaria_sp",0.000814332247557003,0.000325732899022801,0.000570032573289902
"Anthyllis_sp",0.0198697068403909,0.0146579804560261,0.0172638436482085
"Anthyllis_sp1",0.000814332247557003,0.000651465798045603,0.000732899022801303
"Anthyllis_vulneraria",0.00293159609120521,0.00276872964169381,0.00285016286644951
"ApiUnk_sp",0.00228013029315961,0,0.0011400651465798
"ApiUnk2_sp",0.0143322475570033,0.0141693811074919,0.0142508143322476
"Aquilegia_caerulea",0.000325732899022801,0,0.000162866449511401
"Arabis_alpina",0.00260586319218241,0.00358306188925081,0.00309446254071661
"Arabis_bellidifolia",0.000488599348534202,0,0.000244299674267101
"Arabis_glabra",0.0100977198697068,0.000651465798045603,0.00537459283387622
"Arabis_hirsuta",0.0011400651465798,0.0011400651465798,0.0011400651465798
"Arabis_holboellii",0.000325732899022801,0.000162866449511401,0.000244299674267101
"Arabis_lemonii",0.000325732899022801,0,0.000162866449511401
"Arabis_lyallii",0.000325732899022801,0,0.000162866449511401
"Arabis_nuttalii",0.000325732899022801,0,0.000162866449511401
"Arabis_sp",0.000651465798045603,0.000162866449511401,0.000407166123778502
"Arctostaphylos_uvaursi",0,0.000162866449511401,8.14332247557003e-05
"Arenaria_aculeata",0.000162866449511401,0.000325732899022801,0.000244299674267101
"Arenaria_capillaris",0.000814332247557003,0.000488599348534202,0.000651465798045603
"Arenaria_ciliata",0.00944625407166124,0.0104234527687296,0.00993485342019544
"Arenaria_congesta",0.00472312703583062,0.00195439739413681,0.00333876221498371
"Arenaria_insignis",0.00472312703583062,0.00293159609120521,0.00382736156351792
"Arenaria_obtusifolia",0.010586319218241,0.0102605863192182,0.0104234527687296
"Arenaria_rossii",0.00211726384364821,0.000814332247557003,0.00146579804560261
"Arenaria_serpens",0.00260586319218241,0.00130293159609121,0.00195439739413681
"Arenaria_sp",0.00276872964169381,0.00244299674267101,0.00260586319218241
"Arenaria_sp1",0.000162866449511401,0.00162866449511401,0.000895765472312704
"Arenaria_sp2",0.00423452768729642,0.00618892508143322,0.00521172638436482
"Arenaria_tetraquetra_amabilis",0.00374592833876221,0.00358306188925081,0.00366449511400651
"Arisaema_jaqmontii",0.000325732899022801,0.000162866449511401,0.000244299674267101
"Arjona_patagonica",0.000488599348534202,0.000651465798045603,0.000570032573289902
"Armeria_caespitosa",0.00325732899022801,0.00423452768729642,0.00374592833876221
"Armeria_maritima",0.0136807817589577,0,0.00684039087947883
"Arnica_alpina",0.00179153094462541,0.000325732899022801,0.0010586319218241
"Arnica_diversifolia",0.00521172638436482,0.000651465798045603,0.00293159609120521
"Arnica_sp",0.0157980456026059,0.0136807817589577,0.0147394136807818
"Artemisia_eriantha",0.000325732899022801,0.000325732899022801,0.000325732899022801
"Artemisia_frigida",0.0011400651465798,0,0.000570032573289902
"Artemisia_gmelinii",0.000651465798045603,0.000651465798045603,0.000651465798045603
"Artemisia_ludoviciana",0.000325732899022801,0,0.000162866449511401
"Artemisia_michauxiana",0.00358306188925081,0.000325732899022801,0.00195439739413681
"Artemisia_scopulorum",0.011400651465798,0.0110749185667752,0.0112377850162866
"Asperula_aristata",0.000162866449511401,0,8.14332247557003e-05
"Asperula_glomerata",0.00325732899022801,0.00244299674267101,0.00285016286644951
"Asperula_sp",0.00146579804560261,0.00342019543973941,0.00244299674267101
"Aster_alpigenus",0.000488599348534202,0.000162866449511401,0.000325732899022801
"Aster_alpinus",0.0102605863192182,0.00977198697068404,0.0100162866449511
"Aster_himailacus",0.00195439739413681,0.000651465798045603,0.00130293159609121
"Astragalus_alpinus",0.00228013029315961,0.000488599348534202,0.00138436482084691
"Astragalus_bourgovii",0.000325732899022801,0,0.000162866449511401
"Astragalus_capito",0.000325732899022801,0.000814332247557003,0.000570032573289902
"Astragalus_frigidus",0.000162866449511401,0.000488599348534202,0.000325732899022801
"Astragalus_kentrophyta",0.0110749185667752,0.00130293159609121,0.00618892508143322
"Astragalus_nivicola",0.00195439739413681,0.000814332247557003,0.00138436482084691
"Astragalus_polycladus",0.000488599348534202,0,0.000244299674267101
"Astragalus_purshii",0.00781758957654723,0.00211726384364821,0.00496742671009772
"Astragalus_sp",0,0.000162866449511401,8.14332247557003e-05
"Astragalus_sp1",0.000651465798045603,0,0.000325732899022801
"Astragalus_suleatus",0.00146579804560261,0.000162866449511401,0.000814332247557003
"Astragalus_tanguticus",0.00293159609120521,0.00228013029315961,0.00260586319218241
"AstUnk_sp",0.000325732899022801,0,0.000162866449511401
"AstUnk1_sp",0.00439739413680782,0.00390879478827362,0.00415309446254072
"AstUnk2_sp",0.000162866449511401,0,8.14332247557003e-05
"AstUnk3_sp",0.000488599348534202,0.000325732899022801,0.000407166123778502
"Avena_fatua",0.00504885993485342,0.000162866449511401,0.00260586319218241
"Azorella_coespitosa",0.000814332247557003,0.00325732899022801,0.00203583061889251
"Azorella_fuegiana",0.00228013029315961,0.00195439739413681,0.00211726384364821
"Azorella_licopodioidis",0.00374592833876221,0.000325732899022801,0.00203583061889251
"Azorella_madreporica",0.000814332247557003,0,0.000407166123778502
"Azorella_madreporica.1",0,0,0
"Azorella_monantha",0.000325732899022801,0,0.000162866449511401
"Azorella_pedunculata",0.00749185667752443,0.000488599348534202,0.00399022801302932
"Azorella_trifurcata",0.00162866449511401,0.00325732899022801,0.00244299674267101
"Baccharis_caespitosa",0.0149837133550489,0.0304560260586319,0.0227198697068404
"Barbarea_orthoceras",0.0102605863192182,0.0109120521172638,0.010586319218241
"Barneoudia_major",0.00798045602605863,0.00586319218241042,0.00692182410423453
"Bartsia_alpina",0.00130293159609121,0.000325732899022801,0.000814332247557003
"Bartsia_stricta",0.00667752442996743,0.00749185667752443,0.00708469055374593
"Bellis_sp",0.000162866449511401,0,8.14332247557003e-05
"Berberis_buxifolia",0.0011400651465798,0.000977198697068404,0.0010586319218241
"Berberis_empetrifolia",0.00439739413680782,0.000814332247557003,0.00260586319218241
"Besseya_alpina",0.00407166123778502,0.000651465798045603,0.00236156351791531
"Besseya_wyomingensis",0.00846905537459283,0.00244299674267101,0.00545602605863192
"Biscutella_glacialis",0.0011400651465798,0.000651465798045603,0.000895765472312704
"Bistorta_vivipara",0.0182410423452769,0.010586319218241,0.014413680781759
"Brachyglottis_bellidioides",0.0104234527687296,0.00358306188925081,0.00700325732899023
"Brachyscome_sinclairii",0.00146579804560261,0.000162866449511401,0.000814332247557003
"BrasUnk_sp",0.0226384364820847,0.00521172638436482,0.0139250814332248
"BrasUnk2_sp",0.000488599348534202,0,0.000244299674267101
"BrasUnk3_sp",0.000162866449511401,0.000162866449511401,0.000162866449511401
"Bromus_carinatus",0.000325732899022801,0,0.000162866449511401
"Bromus_catharticus",0.00146579804560261,0.000488599348534202,0.000977198697068404
"Bromus_commutatus",0.00635179153094463,0.00553745928338762,0.00594462540716612
"Bromus_lanatus",0.00358306188925081,0.00374592833876221,0.00366449511400651
"Bromus_setifolius",0.0254071661237785,0.00309446254071661,0.0142508143322476
"Bromus_sp",0.0161237785016287,0.00944625407166124,0.012785016286645
"Bromus_sp1",0.000325732899022801,0,0.000162866449511401
"Bromus_tectorum",0.00358306188925081,0.00309446254071661,0.00333876221498371
"Bromus_tomentosus",0.00504885993485342,0.00244299674267101,0.00374592833876221
"Bupleurum_americanum",0.011400651465798,0.00228013029315961,0.00684039087947883
"Calamagrostis_curvula",0.00228013029315961,0.000977198697068404,0.00162866449511401
"Calamagrostis_lapponica",0.00260586319218241,0.00179153094462541,0.00219869706840391
"Calamagrostis_pseudophragmites",0.012214983713355,0.0107491856677524,0.0114820846905537
"Calamagrostis_sp",0.00293159609120521,0.000651465798045603,0.00179153094462541
"Calandrinia_affinis",0.00146579804560261,0.00293159609120521,0.00219869706840391
"Calandrinia_caespitosa",0.00504885993485342,0.00439739413680782,0.00472312703583062
"Calandrinia_gayana",0,0,0
"Calandrinia_sp",0.00928338762214984,0.00586319218241042,0.00757328990228013
"Calceolarea_sp",0.00211726384364821,0.000814332247557003,0.00146579804560261
"Calceolaria_uniflora",0.00407166123778502,0.00293159609120521,0.00350162866449511
"Campanula_alpina",0.000162866449511401,0,8.14332247557003e-05
"Campanula_cochleariifolia",0.00749185667752443,0.00521172638436482,0.00635179153094463
"Campanula_rotundifolia",0.000162866449511401,0.000162866449511401,0.000162866449511401
"Campanula_ruprechtii",0.00309446254071661,0.00195439739413681,0.00252442996742671
"Campanula_scheuchzeri",0.011400651465798,0.00423452768729642,0.00781758957654723
"Campanula_sp",0.00651465798045603,0.00504885993485342,0.00578175895765472
"Campanula_tatrae",0.00162866449511401,0.0011400651465798,0.00138436482084691
"Capsella_bursa_pastoris",0.00130293159609121,0.00130293159609121,0.00130293159609121
"Cardamine_bellidifolia",0,0.000162866449511401,8.14332247557003e-05
"Cardamine_bilobata",0.000162866449511401,0,8.14332247557003e-05
"Carex_aphylla",0.000977198697068404,0,0.000488599348534202
"Carex_atrata",0,0.00146579804560261,0.000732899022801303
"Carex_bigelowii",0.00146579804560261,0.000325732899022801,0.000895765472312704
"Carex_caduca",0.00146579804560261,0,0.000732899022801303
"Carex_capillaris",0.00179153094462541,0.000488599348534202,0.0011400651465798
"Carex_curvula",0.00195439739413681,0.000162866449511401,0.0010586319218241
"Carex_ericetorum",0.00179153094462541,0.000325732899022801,0.0010586319218241
"Carex_firma",0.0127035830618893,0.0100977198697068,0.011400651465798
"Carex_fuliginosa",0.000488599348534202,0.00130293159609121,0.000895765472312704
"Carex_geyeri",0.0281758957654723,0.00651465798045603,0.0173452768729642
"Carex_lachenalii",0.000488599348534202,0.000651465798045603,0.000570032573289902
"Carex_nardina",0.00374592833876221,0.00390879478827362,0.00382736156351792
"Carex_parryana",0.000651465798045603,0,0.000325732899022801
"Carex_parviflora",0.00407166123778502,0.000325732899022801,0.00219869706840391
"Carex_phaeocephala",0.0151465798045603,0.0127035830618893,0.0139250814332248
"Carex_podocarpa",0.00586319218241042,0.00276872964169381,0.00431596091205212
"Carex_rupestris",0.000325732899022801,0.000162866449511401,0.000244299674267101
"Carex_sempervirens",0.00244299674267101,0.00260586319218241,0.00252442996742671
"Carex_sp",0.00602605863192182,0.00228013029315961,0.00415309446254072
"Carex_sp1",0.00211726384364821,0.00211726384364821,0.00211726384364821
"Carex_sp10",0.00586319218241042,0.00586319218241042,0.00586319218241042
"Carex_sp11",0.00130293159609121,0.00130293159609121,0.00130293159609121
"Carex_sp13",0.00162866449511401,0.000162866449511401,0.000895765472312704
"Carex_sp14",0.00130293159609121,0.00146579804560261,0.00138436482084691
"Carex_sp15",0.00293159609120521,0.00325732899022801,0.00309446254071661
"Carex_sp2",0.000488599348534202,0,0.000244299674267101
"Carex_sp3",0.0011400651465798,0.000162866449511401,0.000651465798045603
"Carex_sp4",0,0.000162866449511401,8.14332247557003e-05
"Carex_sp5",0.000488599348534202,0.000651465798045603,0.000570032573289902
"Carex_sp6",0.00325732899022801,0.00228013029315961,0.00276872964169381
"Carex_sp7",0.0115635179153094,0.00325732899022801,0.00741042345276873
"Carex_sp8",0.0245928338762215,0.0236156351791531,0.0241042345276873
"Carex_sp9",0.00146579804560261,0.000651465798045603,0.0010586319218241
"Carex_stenophylloides",0.000162866449511401,0,8.14332247557003e-05
"Carex_tristicha",0.00732899022801303,0.0123778501628664,0.00985342019543974
