"","s.cushion","s.open","index","stat","p.value"
"Gentiana_brachyphylla",1,0,1,0.0804279648684716,0.001
"Gentiana_corymbifera",1,0,1,0.0180480718921108,0.511
"Gentiana_depressa",1,1,3,0.0733116145905696,NA
"Gentiana_divisa",1,0,1,0.0255238280445078,0.141
"Gentiana_nivalis",1,0,1,0.0127619140222539,1
"Gentiana_ornata",1,0,1,0.0221042834883694,0.266
"Gentiana_prostrata",0,1,2,0.0127619140222539,1
"Gentiana_sedifolia",1,1,3,0.0884171339534778,NA
"Gentiana_sp",1,0,1,0.0403567156135631,0.004
"Gentiana_sp1",1,0,1,0.0400613671495818,0.024
"Gentiana_sp2",1,1,3,0.0432777560575997,NA
"Gentiana_sp3",1,1,3,0.0221042834883694,NA
"Gentiana_sp4",0,1,2,0.0206766638984007,0.349
"Gentiana_sp5",1,1,3,0.0337648507560718,NA
"Gentiana_sp6",1,0,1,0.0127619140222539,1
"Gentiana_tenella",1,0,1,0.0180480718921108,0.483
"Gentianella_falcata",1,1,3,0.0451201797302771,NA
"Gentianella_lutescens",0,1,2,0.0221042834883694,0.238
"Gentianella_rupicola",1,0,1,0.0378579549857137,0.054
"Geranium_donianum",1,0,1,0.0349499409346497,0.031
"Geranium_ecuadoriensis",0,1,2,0.0127619140222539,1
"Geranium_multipartitum",1,1,3,0.118692661452746,NA
"Geranium_sessiliflorum",1,0,1,0.0830951342723361,0.001
"Gerbera_nivea",1,1,3,0.0765714841335234,NA
"Geum_rossii",1,1,3,0.140670798731063,NA
"Geum_triflorum",1,1,3,0.0270721078381663,NA
"Geum_uniflorum",1,0,1,0.0734606725850397,0.001
"Globularia_sp",1,1,3,0.0856095218303024,NA
"Gnaphalium_decurrens",1,0,1,0.0127619140222539,1
"Gnaphalium_hoppeanum",1,0,1,0.0127619140222539,1
"Gnaphalium_sp",1,1,3,0.0270721078381663,NA
"Gnaphalium_supinum",0,1,2,0.0252949101643663,0.255
"Gregoria_vitaliana",1,0,1,0.0127619140222539,1
"Haastia_sinclarii",0,1,2,0.0272084921161324,0.116
"Halenia_weddeliana",1,1,3,0.0238753549353701,NA
"Hamadryas_sp",0,1,2,0.0542193638258582,0.001
"Haplopappus_diplopappus",1,0,1,0.0358445996479703,0.08
"Haplopappus_scrobiculatus",1,1,3,0.0510476560890156,NA
"Haplopappus_sp",1,1,3,0.0285365072767675,NA
"Hebe_hectorii",1,0,1,0.0467038230948018,0.002
"Hectorella_caespitosa",1,0,1,0.0127619140222539,1
"Hectorella_sp",1,0,1,0.0683288973958077,0.001
"Hedysarum_alpinum",1,1,3,0.0337648507560718,NA
"Hedysarum_hedysaroides",1,1,3,0.0127619140222539,NA
"Helianthemum_alpestre",1,1,3,0.071055330094606,NA
"Helianthemum_grandiflorum",0,1,2,0.0255238280445078,0.138
"Helianthemum_sp",1,1,3,0.157598012520744,NA
"Helianthemum_sp1",1,0,1,0.0625466627373266,0.015
"Helichrysum_bellidioides",1,0,1,0.0255238280445078,0.131
"Helichrysum_psychrophilum",1,1,3,0.0127619140222539,NA
"Heliotropium_geissei",1,0,1,0.0127619140222539,1
"Herminium_macrophyllum",1,1,3,0.0432777560575997,NA
"Herniaria_boissieri",1,1,3,0.0201783578067815,NA
"Heuchera_cylindrica",1,0,1,0.0127619140222539,1
"Heuchera_parviflora",1,0,1,0.0689083439507627,0.001
"Hieracium_myriadenum",1,1,3,0.0556278935491594,NA
"Hieracium_sp",1,1,3,0.0644445068453527,NA
"Hieracium_sp1",1,0,1,0.0274792300492265,0.213
"Hordeum_comosum",1,0,1,0.2602782889514,0.001
"Hormathophylla_spinosa",1,1,3,0.0577820232856527,NA
"Hulsea_algida",1,0,1,0.0285365072767675,0.067
"Hutchinsia_alpina",1,1,3,0.0548910677247302,NA
"Hypochaeris_clarionoides",1,1,3,0.0255238280445078,NA
"Hypochaeris_incana",1,1,3,0.0556278935491594,NA
"Hypochaeris_radicata",1,0,1,0.0180480718921108,0.492
"Hypochaeris_sessiliflora",1,1,3,0.152343260616854,NA
"Hypochaeris_tenuifolia",1,0,1,0.0786596710758955,0.001
"Ivesia_gordoni",1,1,3,0.108288431352665,NA
"Jaborosa_caulescens",0,1,2,0.0460137353802993,0.001
"Jarava_chrysophylla",1,0,1,0.103503589905938,0.001
"Jasione_amethystina",1,1,3,0.176373160817278,NA
"Jasione_crispa",1,0,1,0.0875790379395875,0.001
"Juncus_biglumis",1,1,3,0.0127619140222539,NA
"Juncus_bufonius",1,1,3,0.0201783578067815,NA
"Juncus_imbricatus",0,1,2,0.0292412185097484,0.199
"Juncus_sp",0,1,2,0.0180480718921108,0.491
"Juncus_stipulatus",1,0,1,0.0191428710333808,0.495
"Juncus_thomsonii",1,0,1,0.0318150089369409,0.129
"Juncus_trifidus",1,0,1,0.0338611843348732,0.043
"Junellia_uniflora",0,1,2,0.0312601774957917,0.038
"Jurinea_humilis",1,1,3,0.0360961437842217,NA
"Jurinella_frigida",1,1,3,0.0403567156135631,NA
"Koeleria_crassipes",1,0,1,0.0232999606230998,0.266
"Koeleria_cristata",1,0,1,0.0384786185623559,0.02
"Koeleria_croizatii",1,0,1,0.0552607087209236,0.007
"Koeleria_dieffenbachii",1,1,3,0.0656959733321009,NA
"Koeleria_litwinowii",0,1,2,0.0521667644425381,0.009
"Koeleria_macrantha",1,1,3,0.0911382956011436,NA
"Koeleria_sp",1,0,1,0.0560614153939834,0.001
"Koeleria_sp1",1,0,1,0.0630514096881593,0.001
"Koeleria_sp2",1,1,3,0.0760378784399902,NA
"Koeleria_sp3",1,1,3,0.0817161209919281,NA
"Kurzamra_pulchella",1,0,1,0.0755005015407118,0.001
"Lachemilla_hispidulata",1,1,3,0.0299293413277456,NA
"Lachemilla_orbiculata",1,1,3,0.0270721078381663,NA
"Lactuca_sp",1,0,1,0.0127619140222539,1
"LamUnk_sp",1,1,3,0.0403567156135631,NA
"Lasiocephalus_ovatus",1,0,1,0.0127619140222539,1
"Lathyrus_sp",1,0,1,0.0296560082843522,0.234
"Leontodon_boryi",1,1,3,0.0836854666533576,NA
"Leontodon_helveticus",1,0,1,0.0706722797025087,0.001
"Leontodon_sp",1,1,3,0.0221042834883694,NA
"Leontodon_sp1",1,1,3,0.0180480718921108,NA
"Leontodon_sp2",1,1,3,0.0127619140222539,NA
"Leontodon_sp3",1,1,3,0.0631682516223879,NA
"Leontopodium_jocacianum",1,1,3,0.0865555121151994,NA
"Leontopodium_nanum",1,1,3,0.0681299773306503,NA
"Leontopodium_sp",1,0,1,0.0127619140222539,1
"Leptinella_atrata",1,0,1,0.0772315953465172,0.001
"Leptinella_goyenii",1,1,3,0.0733116145905696,NA
"Leptinella_pectinata",0,1,2,0.0127619140222539,1
"Leptinella_sp",1,0,1,0.0337648507560718,0.015
"Lesquerella_humilis",1,0,1,0.0127619140222539,1
"Leucanthemopsis_alpina",1,1,3,0.0127619140222539,NA
"Leucanthemopsis_pectinata",0,1,2,0.027654370318373,0.229
"Leucanthemum_sp",0,1,2,0.0127619140222539,1
"Leucheria_candidissima",1,0,1,0.0260501479131598,0.209
"Leucheria_leontopodioides",1,1,3,0.0360961437842217,NA
"Leucheria_millefolium",1,0,1,0.0337648507560718,0.019
"Leucopogon_frazeri",1,1,3,0.0360961437842217,NA
"Leuzea_sp",1,1,3,0.0337648507560718,NA
"Ligusticum_mutellinoides",1,0,1,0.0814438844074459,0.001
"Ligusticum_sp",1,0,1,0.0127619140222539,1
"LilUnk_sp",1,1,3,0.0337648507560718,NA
"Linaria_aeruginea",1,1,3,0.0299293413277456,NA
"Linaria_alpina",0,1,2,0.0354213900109814,0.016
"Linaria_sp",1,0,1,0.0180480718921108,0.498
"Linaria_sp1",1,1,3,0.0733116145905696,NA
"Linaria_sp2",1,1,3,0.0180480718921108,NA
"Linum_lewisii",1,0,1,0.0337648507560718,0.014
"Linum_sp",1,0,1,0.0127619140222539,1
"Lloydia_serotina",1,0,1,0.090740154314922,0.001
"Loasa_sigmoidea",1,1,3,0.100891789033908,NA
"Lobelia_roughii",1,0,1,0.0127619140222539,1
"Loiseleuria_procumbens",1,0,1,0.0255238280445078,0.135
"Lomatium_sandbergii",1,0,1,0.0255238280445078,0.126
"Lotus_corniculatus",1,1,3,0.0897880239832369,NA
"Lotus_sp",0,1,2,0.0373284470200794,0.064
"Lucilia_kunthiana",1,1,3,0.0996737348562571,NA
"Luetkea_sp",0,1,2,0.0127619140222539,1
"Lupinus_arcticus",1,1,3,0.0494266804739203,NA
"Lupinus_argenteus",1,1,3,0.0360961437842217,NA
"Lupinus_microphyllus",1,1,3,0.0988533609478405,NA
"Lupinus_sericeus",1,1,3,0.0127619140222539,NA
"Luzula_arcuata",1,0,1,0.0215960711065044,0.249
"Luzula_chilensis",1,0,1,0.0477507098707402,0.001
"Luzula_crinita",1,1,3,0.052618719498804,NA
"Luzula_glabra",0,1,2,0.0127619140222539,1
"Luzula_hispanica",1,0,1,0.0594988075541745,0.001
"Luzula_lutea",1,0,1,0.0328135367492143,0.039
"Luzula_multiflora",1,0,1,0.0127619140222539,1
"Luzula_pumilia",0,1,2,0.0824547309888909,0.001
"Luzula_racemosa",1,1,3,0.0771013969209775,NA
"Luzula_rufa",1,0,1,0.0713895444085788,0.001
"Luzula_sp",1,0,1,0.0368404724806157,0.039
"Luzula_sp1",1,1,3,0.065073248630266,NA
"Luzula_sp2",1,1,3,0.0906904388583809,NA
"Luzula_sp3",1,0,1,0.0403567156135631,0.002
"Luzula_sp4",1,1,3,0.0460137353802993,NA
"Luzula_sp5",0,1,2,0.0467081674344322,0.027
"Luzula_sp6",1,1,3,0.0612039895657319,NA
"Luzula_spicata",1,1,3,0.0541442156763325,NA
"Lysipomia_acaulis",0,1,2,0.0567411918892085,0.002
"Marrubium_sp",1,1,3,0.0721922875684434,NA
"Marsippospermum_gracile",1,0,1,0.0317873677423768,0.168
"Melicytus_alpinus",0,1,2,0.0161426862454252,0.759
"Menonvillea_sp",1,1,3,0.0382857420667617,NA
"Mertensia_lanceolata",1,0,1,0.0385051463962979,0.035
"Mertensia_longiflora",1,0,1,0.0659022406318937,0.001
"Mertensia_sp",NA,NA,NA,NA,NA
"Microsteris_gracilis",1,1,3,0.0996737348562571,NA
"Minuartia_gerardii",0,1,2,0.0361940982215328,0.066
"Minuartia_macrantha",1,1,3,0.0180480718921108,NA
"Minuartia_obtusiloba",1,1,3,0.0548910677247302,NA
"Minuartia_sedoides",1,1,3,0.052618719498804,NA
"Minuartia_sp",0,1,2,0.0127619140222539,1
"Minuartia_sp1",1,0,1,0.0382857420667617,0.008
"Minuartia_verna",1,1,3,0.0846529608371829,NA
"Montiopsis_andicola",1,0,1,0.0839562168008409,0.001
"Montiopsis_copiapina",1,0,1,0.057073014553535,0.001
"Montiopsis_gayana",1,0,1,0.069322012260004,0.001
"Montiopsis_potentilloides",1,1,3,0.126336503244776,NA
"Morina_nepalensis",1,1,3,0.0127619140222539,NA
"Moschopsis_monocephala",1,1,3,0.0270721078381663,NA
"Mulinum_leptacanthum",1,0,1,0.0753004998607964,0.001
"Mulinum_spinosum",1,0,1,0.0127619140222539,1
"Myosotis_alpestris",1,1,3,0.0502437057493445,NA
"Myosotis_pulvinasris",1,0,1,0.0127619140222539,1
"Myosotis_pygmea",1,0,1,0.0180480718921108,0.493
"Myosotis_sylvatica",1,0,1,0.0620057754179977,0.001
"Myrosmodes_sp",1,1,3,0.0738649176445214,NA
"Nardus_stricta",1,0,1,0.0127619140222539,1
"Nassauvia_aculeata",1,1,3,0.0477507098707402,NA
"Nassauvia_axillaris",1,0,1,0.0331564252325542,0.153
"Nassauvia_cumingii",1,1,3,0.071055330094606,NA
"Nassauvia_lagascae",0,1,2,0.0949228466162581,0.001
"Nassauvia_pygmaea",0,1,2,0.0331564252325542,0.174
"Nassauvia_pyramidalis",0,1,2,0.0694400092328304,0.001
"Nassauvia_revoluta",1,1,3,0.0312601774957917,NA
"Nassauvia_sp",1,0,1,0.0725114638690684,0.001
"Nassauvia_sp1",1,0,1,0.0372070533749571,0.128
"Nassauvia_sp2",1,0,1,0.0422427484267614,0.032
"Nassauvia_uniflora",1,1,3,0.0827066555936028,NA
"Nastanthus_agglomeratus",1,0,1,0.129144301407812,0.001
"Nastanthus_caespitosum",1,0,1,0.0403567156135631,0.002
"Neottianthe_calcicola",1,0,1,0.0403567156135631,0.004
"Nepeta_lamiopsis",1,1,3,0.0180480718921108,NA
"Nevadensia_purpurea",1,1,3,0.140090710491894,NA
"Nototriche_aruicoma",1,0,1,0.0510476560890156,0.001
"Nototriche_hartwegii",1,1,3,0.0698998818692995,NA
"Olsynium_frigidum",1,0,1,0.0127619140222539,1
"Olsynium_junceum",1,0,1,0.0497346378488312,0.005
"Olsynium_scirpoideum",1,0,1,0.0819372746331198,0.002
"Oreobolus_sp",1,0,1,0.0260501479131598,0.23
"Oreochloa_sp",1,0,1,0.129866199883709,0.001
"Oreomyrrhis_andicola",1,0,1,0.0690436830253059,0.001
"Oreopolus_glacialis",1,0,1,0.0589776400752915,0.001
"Oritrophium_peruvianium",0,1,2,0.0332440249234818,0.115
"Ourisia_caespitosa",1,0,1,0.0510476560890156,0.001
"Ourisia_glandulosa",1,0,1,0.068725010264318,0.001
"Ourisia_muscoides",0,1,2,0.0354683368705656,0.024
"Oxalis_compacta",0,1,2,0.114957711417976,0.001
"Oxalis_enneaphylla",1,1,3,0.039334860751734,NA
"Oxalis_patagonica",1,0,1,0.0127619140222539,1
"Oxalis_sp",1,0,1,0.107633698160529,0.001
"Oxalis_sp1",1,1,3,0.0836854666533576,NA
"Oxalis_squamata",1,1,3,0.0372070533749571,NA
"Oxyria_digyna",1,1,3,0.0669240417306331,NA
"Oxytropis_campestris",1,0,1,0.100238371682109,0.001
"Oxytropis_carpatica",1,1,3,0.112348341497031,NA
"Oxytropis_halleri",0,1,2,0.0314858856795536,0.09
"Oxytropis_jacquinii",1,0,1,0.0180480718921108,0.49
"Oxytropis_persicus",0,1,2,0.0127619140222539,1
"Oxytropis_sericea",1,1,3,0.0299293413277456,NA
"Oxytropis_sp",1,1,3,0.039334860751734,NA
"Oxytropis_sp1",0,1,2,0.0221042834883694,0.253
"Oxytropis_sp2",1,1,3,0.0485959207950144,NA
"Papaver_sp",1,1,3,0.0127619140222539,NA
"Parastrephia_lepidophylla",1,0,1,0.0510476560890156,0.001
"Parnassia_nubicola",1,1,3,0.0812163235144988,NA
"Parnassia_palustris",0,1,2,0.0482116751951814,0.02
"Paronychia_polygonifolia",0,1,2,0.0180480718921108,0.498
"Pedicularis_bracteosa",1,0,1,0.0457178240448548,0.003
"Pedicularis_oederi",1,1,3,0.0468902662436876,NA
"Pedicularis_parryi",1,0,1,0.0180480718921108,0.5
"Pedicularis_pilostachya",1,0,1,0.0255238280445078,0.119
"Pedicularis_roylei",1,1,3,0.0533869166224227,NA
"Pedicularis_siphonantha",1,1,3,0.0312601774957917,NA
"Pedicularis_sp",1,0,1,0.0336598276377204,0.044
"Pedicularis_sp1",1,0,1,0.0127619140222539,1
"Pedicularis_verticillata",1,1,3,0.0980261216267003,NA
"Penstemon_fruticosa",1,0,1,0.0127619140222539,1
"Penstemon_heterodoxus",1,1,3,0.0360961437842217,NA
"Penstemon_lyallii",1,0,1,0.0164755601579734,0.754
"Penstemon_rydbergii",1,1,3,0.0156300887478959,NA
"Penstemon_sp",0,1,2,0.0127619140222539,1
"Perezia_atacamensis",0,1,2,0.0442085669767389,0.002
"Perezia_carthamoides",0,1,2,0.0670062075586685,0.002
"Perezia_magellanica",0,1,2,0.0255238280445078,0.127
"Perezia_pilifera",1,0,1,0.142648694614839,0.001
"Perezia_recurvata",1,1,3,0.0180480718921108,NA
"Perezia_sp",1,1,3,0.0781504437394793,NA
"Pernettya_mucronata",0,1,2,0.0221042834883694,0.259
"Pernettya_prostrata",1,0,1,0.0405579972393256,0.037
"Pernettya_pumila",1,1,3,0.0631682516223879,NA
"Persicaria_bistorta",1,0,1,0.0127619140222539,1
"Persicaria_vivipara",1,1,3,0.132625700930217,NA
"Phacelia_lyallii",1,1,3,0.0127619140222539,NA
"Phacelia_secunda",0,1,2,0.118293746499523,0.001
"Phacelia_sericea",1,0,1,0.0548388054376022,0.006
"Phacelia_sp",NA,NA,NA,NA,NA
"Phaiophleps_biflora",1,1,3,0.0156300887478959,NA
"Phleum_commutatum",1,0,1,0.0180480718921108,0.516
"Phleum_sp",1,1,3,0.0221042834883694,NA
"Phlox_diffusa",1,0,1,0.0127619140222539,1
"Phlox_hoodii",0,1,2,0.0127619140222539,1
"Phlox_kelseyi",1,0,1,0.0312601774957917,0.021
"Phlox_pulvinata",1,0,1,0.0861252966212493,0.001
"Phlox_sp",1,1,3,0.102095312178031,NA
"Phlox_sp1",1,1,3,0.0468902662436876,NA
"Phlox_sp2",1,1,3,0.0372070533749571,NA
"Phyllacne_rubra",1,0,1,0.0488585388353381,0.004
"Phyllodoce_glandulosa",1,1,3,0.032536624315133,NA
"Phyllodoce_sp",1,0,1,0.0887941810113421,0.001
"Physoptychis_gnaphalodes",1,0,1,0.0584575667495993,0.001
"Phyteuma_orbiculare",0,1,2,0.0127619140222539,1
"Pilosella_sp",1,1,3,0.0312601774957917,NA
"Pinguicula_sp",1,1,3,0.0180480718921108,NA
"Piptatherum_laterale",1,1,3,0.0201783578067815,NA
"Plagiobothrys_myosotoides",1,1,3,0.0372070533749571,NA
"Plantago_alpina",1,0,1,0.0302002006162847,0.046
"Plantago_barbata",1,0,1,0.0584824370194968,0.001
"Plantago_eriopoda",1,1,3,0.039334860751734,NA
"Plantago_holosteum",1,1,3,0.0693149353356571,NA
"Plantago_lanceolata",1,0,1,0.0209699645607898,0.384
"Plantago_major",1,0,1,0.0221042834883694,0.26
"Plantago_nubigena",0,1,2,0.101100315172391,0.001
"Plantago_patagonica",1,1,3,0.0518391398167264,NA
"Plantago_rigida",1,1,3,0.0563550864205913,NA
"Plantago_sp",1,1,3,0.032536624315133,NA
"Plantago_sp1",1,1,3,0.0238753549353701,NA
"Plantago_sp2",1,1,3,0.079698127524708,NA
"Plantago_tweedyi",1,0,1,0.0180480718921108,0.474
"Poa_alopecurus",1,0,1,0.143380551469177,0.001
"Poa_alpina",1,0,1,0.223533703019614,0.001
"Poa_araratica",1,0,1,0.0541442156763325,0.013
"Poa_colensoi",1,1,3,0.138923267551195,NA
"Poa_fuegiana",1,1,3,0.0221042834883694,NA
"Poa_holciformis",1,1,3,0.1383358515266,NA
"Poa_ligulata",1,1,3,0.188859080912189,NA
"Poa_poiphagorum",1,0,1,0.038145757166365,0.012
"Poa_pratensis",1,1,3,0.121070146840689,NA
"Poa_pusilla",1,1,3,0.0598586826554913,NA
"Poa_sandbergii",1,1,3,0.0874912745765875,NA
"Poa_secunda",1,1,3,0.032536624315133,NA
"Poa_sibirica",1,1,3,0.0349499409346497,NA
"Poa_sp",1,1,3,0.0127619140222539,NA
"Poa_sp1",1,0,1,0.0972588473488255,0.001
"Poa_sp2",1,1,3,0.0337648507560718,NA
"Poa_sp4",1,1,3,0.083197500588867,NA
"PoaUnk_sp",1,1,3,0.171693993376482,NA
"PoaUnk2_sp",1,0,1,0.0180480718921108,0.496
"PoaUnk3_sp",1,1,3,0.187994732755931,NA
"PoaUnk4_sp",1,0,1,0.0180480718921108,0.52
"Polemonium_boreale",1,1,3,0.0349499409346497,NA
"Polemonium_pulcherrimum",1,1,3,0.0460137353802993,NA
"Polemonium_sp",1,0,1,0.0640003315835293,0.002
"Polemonium_viscosum",1,0,1,0.0774397450239712,0.001
"Polygala_salasiana",1,0,1,0.129193446388064,0.001
"Polygala_sp",0,1,2,0.0127619140222539,1
"Polygonatum_sp",1,1,3,0.0442085669767389,NA
"Polygonum_bistortioides",1,0,1,0.0859937862772829,0.001
"Polygonum_molliaeforme",1,1,3,0.0299293413277456,NA
"Polygonum_sp",1,0,1,0.0535822886655978,0.018
"Polygonum_viviparum",1,0,1,0.177143876204292,0.001
"Potentilla_arguta",1,1,3,0.0201783578067815,NA
"Potentilla_concinna",1,0,1,0.0127619140222539,1
"Potentilla_crantzii",1,0,1,0.0275688851978676,0.157
"Potentilla_diversifolia",1,0,1,0.157347417596173,0.001
"Potentilla_gracilis",1,1,3,0.0221042834883694,NA
"Potentilla_heptaphylla",1,1,3,0.0360961437842217,NA
"Potentilla_microphylla",1,1,3,0.0201783578067815,NA
"Potentilla_morefieldii",1,1,3,0.0563550864205913,NA
"Potentilla_multifida",1,1,3,0.0786697215034681,NA
"Potentilla_nivea",1,0,1,0.0883764168737438,0.001
"Potentilla_sericea",1,0,1,0.0781176464615128,0.001
"Potentilla_sp",1,0,1,0.113917508299069,0.001
"Potentilla_sp1",1,1,3,0.0221042834883694,NA
"Potentilla_sp2",0,1,2,0.0304686521233707,0.037
"Potentilla_tanacetifolia",1,0,1,0.0180480718921108,0.513
"Potentilla_villosa",1,1,3,0.0180480718921108,NA
"Pozoa_coriacea",0,1,2,0.100760675542474,0.001
"Primula_integrifolia",1,0,1,0.0491167922750216,0.002
"Primula_sp",1,1,3,0.0255238280445078,NA
"Pritzelago_alpina",1,0,1,0.0329511203159468,0.087
"Pritzelago_sp",0,1,2,0.0221042834883694,0.265
"Prunus_sp",1,1,3,0.0156300887478959,NA
"Pseudorchis_albida",1,0,1,0.0127619140222539,1
"Quinchamalium_chilense",1,1,3,0.0781504437394793,NA
"Ranunculus_acetosellifolius",NA,NA,NA,NA,NA
"Ranunculus_alpestris",1,0,1,0.0442085669767389,1
"Ranunculus_breyninus",1,1,3,0.104460768316454,NA
"Ranunculus_demissus",1,1,3,0.032536624315133,NA
"Ranunculus_guzmanii",1,0,1,0.0349499409346497,0.047
"Ranunculus_montanus",1,0,1,0.0127619140222539,1
"Ranunculus_nivalis",1,0,1,0.0258122420357139,0.185
"Ranunculus_parnassifolius",1,1,3,0.057073014553535,NA
"Ranunculus_peruvianus",1,1,3,0.0403567156135631,NA
"Ranunculus_pseudomontanus",0,1,2,0.0127619140222539,1
"Ranunculus_sp",1,0,1,0.0319383513827043,0.058
"Ranunculus_sp1",1,0,1,0.0127619140222539,1
"Ranunculus_sp2",1,1,3,0.0403567156135631,NA
"RanUnk_sp",0,1,2,0.0353951810617687,0.022
"Raoulia_grandiflora",1,1,3,0.0693149353356571,NA
"Raoulia_hectorii",1,0,1,0.0890552698113613,0.001
"Rhodiola_fastigiata",1,0,1,0.0215715718687748,0.251
"Rhodiola_juparensis",1,1,3,0.0299293413277456,NA
"Rhodiola_rosea",1,1,3,0.0860838164393792,NA
"Rhodophiala_uniflora",1,1,3,0.0776276924294534,NA
"Ribes_cucullatum",0,1,2,0.022829205821414,0.385
"RubUnk_sp",1,0,1,0.0730099408280104,0.001
"Rumex_acetosella",0,1,2,0.0519319584046007,0.014
"Rumex_angiocarpus",0,1,2,0.054185977514918,0.002
"Rumex_sp",1,1,3,0.0238753549353701,NA
"Rytidosperma_pictum",1,0,1,0.0388414422695565,0.032
"Rytidosperma_setifolium",1,1,3,0.106008419553763,NA
"Rytidosperma_violaceum",1,0,1,0.100775135527789,0.001
"Salix_alpina",1,1,3,0.0127619140222539,NA
"Salix_arctica",1,1,3,0.0485959207950144,NA
"Salix_cascadensis",1,0,1,0.058722365973744,0.009
"Salix_herbacea",1,1,3,0.0349499409346497,NA
"Salix_polaris",1,1,3,0.0897880239832369,NA
"Salix_restrata",1,1,3,0.0312601774957917,NA
"Salix_reticulata",1,1,3,0.0382857420667617,NA
"Salix_retusa",1,0,1,0.0508062946608176,0.008
"Salix_serpyllifolia",1,0,1,0.0581796786249771,0.001
"Salix_sp",1,0,1,0.125006785917868,0.001
"Salix_sp1",1,0,1,0.0221042834883694,0.257
"Salix_sp2",1,1,3,0.0485959207950144,NA
"Sanicula_graveolens",0,1,2,0.0592127750788383,0.001
"Saponaria_caespitosa",1,1,3,0.0201783578067815,NA
"Saussurea_alpina",1,1,3,0.0238753549353701,NA
"Saussurea_gnaphalodes",1,1,3,0.135960810601967,NA
"Saussurea_weberi",1,0,1,0.0568943818319444,0.004
"Saxifraga_aizoides",0,1,2,0.0355139097399355,0.122
"Saxifraga_ascendens",1,0,1,0.027498466474438,0.212
"Saxifraga_brachypoda",1,1,3,0.0518391398167264,NA
"Saxifraga_bronchialis",1,1,3,0.0663128504651083,NA
"Saxifraga_caesia",1,1,3,0.0221042834883694,NA
"Saxifraga_cernua",1,1,3,0.0460137353802993,NA
"Saxifraga_exarata",1,0,1,0.0255238280445078,0.132
"Saxifraga_lyallii",1,0,1,0.0356420861649388,0.038
"Saxifraga_moorcroftiana",1,1,3,0.107154489829189,NA
"Saxifraga_nelsoniana",0,1,2,0.020464589944603,0.488
"Saxifraga_nivalis",1,0,1,0.0382857420667617,0.002
"Saxifraga_occidentalis",1,0,1,0.0520200797728535,0.002
"Saxifraga_oppositifolia",1,1,3,0.111621160124871,NA
"Saxifraga_paniculata",0,1,2,0.0758290370477693,0.001
"Saxifraga_rhomboidea",1,1,3,0.0156300887478959,NA
"Saxifraga_serpyllifolia",1,1,3,0.032536624315133,NA
"Saxifraga_sp",1,1,3,0.0349499409346497,NA
"Saxifraga_sp1",1,0,1,0.0221042834883694,0.244
"Saxifraga_sp2",1,0,1,0.0255238280445078,0.154
"Saxifraga_sp3",1,0,1,0.0127619140222539,1
"Saxifraga_sp4",1,0,1,0.0375700576137275,0.102
"Saxifraga_sp5",0,1,2,0.0671962194665141,0.001
"Saxifraga_sp6",1,1,3,0.0255238280445078,NA
"Saxifraga_sp7",1,1,3,0.0612039895657319,NA
"Saxifraga_sp8",0,1,2,0.0127619140222539,1
"Saxifraga_sp9",1,0,1,0.0127619140222539,1
"Saxifraga_tenuis",0,1,2,0.0320321499734536,0.063
"Saxifraga_tricuspidata",1,1,3,0.0221042834883694,NA
"Scabiosa_lucida",1,1,3,0.0255238280445078,NA
"Schizeilema_sp",1,1,3,0.0127619140222539,NA
"Schizeilema_trifoliatum",1,0,1,0.0315331973301008,0.133
"Scilla_sp",1,1,3,0.0312601774957917,NA
"Scorzonera_meyeri",1,0,1,0.0127619140222539,1
"ScrophUnk_sp",1,0,1,0.0638095701112695,0.003
"Sedum_amplexicaule",1,1,3,0.106391814727649,NA
"Sedum_atratum",1,1,3,0.0180480718921108,NA
"Sedum_brevifolium",1,1,3,0.0879554225263658,NA
"Sedum_candollei",1,1,3,0.0760378784399902,NA
"Sedum_debile",0,1,2,0.045658411642828,0.025
"Sedum_lanceolatum",1,1,3,0.104460768316454,NA
"Sedum_roseum",1,1,3,0.0618656735477592,NA
"Sedum_sp",1,1,3,0.0460137353802993,NA
"Sedum_sp1",0,1,2,0.0255238280445078,0.127
"Sedum_sp2",1,1,3,0.0598586826554913,NA
"Senecio_amplectum",1,0,1,0.0180480718921108,0.515
"Senecio_boissieri",0,1,2,0.0331564252325542,0.124
"Senecio_bustillosianus",1,1,3,0.0494266804739203,NA
"Senecio_canescens",0,1,2,0.0127619140222539,1
"Senecio_canus",1,0,1,0.119480633596787,0.001
"Senecio_franciscanus",1,1,3,0.0598586826554913,NA
"Senecio_fremontii",1,0,1,0.0127619140222539,1
"Senecio_looseri",1,1,3,0.0556278935491594,NA
"Senecio_magellanicus",1,1,3,0.0403567156135631,NA
"Senecio_nivalis",1,1,3,0.0442085669767389,NA
"Senecio_pachyphyllos",1,0,1,0.057073014553535,0.001
"Senecio_polygaloides",1,1,3,0.106773833244845,NA
"Senecio_portalesianus",1,0,1,0.146623229181139,0.001
"Senecio_puchii",1,0,1,0.0362462323475415,0.129
"Senecio_sp",1,0,1,0.101681107037994,0.001
"Senecio_sp3",1,0,1,0.0807754946205543,0.001
"Senecio_sp4",1,1,3,0.0127619140222539,NA
"Senecio_sp5",1,0,1,0.0270721078381663,0.289
