"","s.cushion","s.open","index","stat","p.value"
"Arabis_glabra",1,0,1,0.0987274257562362,0.001
"Arabis_hirsuta",1,1,3,0.0337648507560718,NA
"Arabis_holboellii",1,0,1,0.0156300887478959,1
"Arabis_lemonii",1,0,1,0.0180480718921108,0.484
"Arabis_lyallii",1,0,1,0.0180480718921108,0.515
"Arabis_nuttalii",1,0,1,0.0180480718921108,0.498
"Arabis_sp",1,0,1,0.0232999606230998,0.316
"Arctostaphylos_uvaursi",0,1,2,0.0127619140222539,1
"Arenaria_aculeata",1,1,3,0.0156300887478959,NA
"Arenaria_capillaris",1,1,3,0.0255238280445078,NA
"Arenaria_ciliata",1,1,3,0.0996737348562571,NA
"Arenaria_congesta",1,0,1,0.0609694670128389,0.008
"Arenaria_insignis",1,1,3,0.0618656735477592,NA
"Arenaria_obtusifolia",1,1,3,0.102095312178031,NA
"Arenaria_rossii",1,0,1,0.0387630538096983,0.115
"Arenaria_serpens",1,1,3,0.0442085669767389,NA
"Arenaria_sp",1,1,3,0.0510476560890156,NA
"Arenaria_sp1",0,1,2,0.0386386135084388,0.013
"Arenaria_sp2",1,1,3,0.0721922875684434,NA
"Arenaria_tetraquetra_amabilis",1,1,3,0.0605350734203446,NA
"Arisaema_jaqmontii",1,1,3,0.0156300887478959,NA
"Arjona_patagonica",1,1,3,0.0238753549353701,NA
"Armeria_caespitosa",1,1,3,0.0612039895657319,NA
"Armeria_maritima",1,0,1,0.116964874038994,0.001
"Arnica_alpina",1,0,1,0.0403567156135631,0.009
"Arnica_diversifolia",1,0,1,0.071317197197218,0.001
"Arnica_sp",1,1,3,0.121405987005509,NA
"Artemisia_eriantha",1,1,3,0.0180480718921108,NA
"Artemisia_frigida",1,0,1,0.0337648507560718,0.014
"Artemisia_gmelinii",1,1,3,0.0255238280445078,NA
"Artemisia_ludoviciana",1,0,1,0.0180480718921108,0.496
"Artemisia_michauxiana",1,0,1,0.0585804140307566,0.001
"Artemisia_scopulorum",1,1,3,0.106008419553763,NA
"Asperula_aristata",1,0,1,0.0127619140222539,1
"Asperula_glomerata",1,1,3,0.0533869166224227,NA
"Asperula_sp",0,1,2,0.0500813670188382,0.029
"Aster_alpigenus",1,0,1,0.020464589944603,0.494
"Aster_alpinus",1,1,3,0.100081400094878,NA
